full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,86273,86273,8122,1486,1486,938,https://github.com/anthropics/claude-code
instructkr/claude-code,16586,16586,24434,16586,16586,24434,https://github.com/instructkr/claude-code
affaan-m/everything-claude-code,123301,123301,16153,2017,2017,381,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,44604,44604,6817,410,410,65,https://github.com/shareAI-lab/learn-claude-code
hesreallyhim/awesome-claude-code,34807,34807,2535,122,122,15,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30824,30824,2384,36,36,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23871,23871,2307,20,20,0,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,27440,27440,2277,621,621,39,https://github.com/shanraisshan/claude-code-best-practice
ChinaSiro/claude-code-sourcemap,2056,2056,3505,2056,2056,3505,https://github.com/ChinaSiro/claude-code-sourcemap
VoltAgent/awesome-claude-code-subagents,15739,15739,1769,22,22,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6753,6753,1616,11,11,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,9376,9376,1201,3,3,1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7605,7605,1112,53,53,12,https://github.com/Donchitos/Claude-Code-Game-Studios
nirholas/claude-code,312,312,372,312,312,372,https://github.com/nirholas/claude-code
Piebald-AI/claude-code-system-prompts,7180,7180,970,42,42,12,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8293,8293,603,6,6,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,6966,6966,480,11,11,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5633,5633,498,16,16,3,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3756,3756,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,810,810,1538,5,5,9,https://github.com/pedrohcgs/claude-code-my-workflow
chatgptprojects/claude-code,223,223,256,223,223,256,https://github.com/chatgptprojects/claude-code
1rgs/claude-code-proxy,3331,3331,440,2,2,-1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3446,3446,586,1,1,-1,https://github.com/disler/claude-code-hooks-mastery
qwibitai/nanoclaw,26066,26066,9863,33,33,49,https://github.com/qwibitai/nanoclaw
zebbern/claude-code-guide,3763,3763,351,4,4,2,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5288,5288,198,1,1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7223,7223,351,12,12,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,107238,107238,11874,314,314,42,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2308,2308,380,6,6,2,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,2292,2292,323,3,3,4,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4078,4078,343,4,4,2,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2293,2293,303,3,3,3,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2595,2595,376,14,14,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2539,2539,266,0,0,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2229,2229,253,9,9,1,https://github.com/ding113/claude-code-hub
anthropics/claude-code-base-action,741,741,589,2,2,0,https://github.com/anthropics/claude-code-base-action
sickn33/antigravity-awesome-skills,29163,29163,4866,111,111,23,https://github.com/sickn33/antigravity-awesome-skills
https-deeplearning-ai/sc-claude-code-files,469,469,639,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1374,1374,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21594,21594,3557,102,102,18,https://github.com/router-for-me/CLIProxyAPI
hangsman/claude-code-source,232,232,570,232,232,570,https://github.com/hangsman/claude-code-source
Pimzino/claude-code-spec-workflow,3594,3594,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wanshuiyin/Auto-claude-code-research-in-sleep,4971,4971,406,64,64,7,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
eyaltoledano/claude-task-master,26320,26320,2467,4,4,-1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32632,32632,3552,26,26,-1,https://github.com/wshobson/agents
obra/superpowers,127194,127194,10371,812,812,58,https://github.com/obra/superpowers
pengchengneo/Claude-Code,102,102,139,102,102,139,https://github.com/pengchengneo/Claude-Code
zhukunpenglinyutong/idea-claude-code-gui,2265,2265,261,18,18,4,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
bfly123/claude_code_bridge,2001,2001,183,13,13,0,https://github.com/bfly123/claude_code_bridge
snarktank/ralph,14132,14132,1437,24,24,3,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,15502,15502,1685,38,38,3,https://github.com/anthropics/claude-plugins-official
feiskyer/claude-code-settings,1390,1390,207,2,2,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9171,9171,1175,10,10,-1,https://github.com/siteboon/claudecodeui
